self	method	params	result
()	to_str		str
bool	to_str		str
bool	not		bool
bool	eq	bool	bool
bool	ne	bool	bool
int	to_str		str
int	neg		int
int	eq	int	bool
int	ne	int	bool
int	lt	int	bool
int	le	int	bool
int	gt	int	bool
int	ge	int	bool
int	add	int	int
int	sub	int	int
int	mul	int	int
int	div	int	int
float	to_str		str
float	neg		float
float	eq	float	bool
float	ne	float	bool
float	lt	float	bool
float	le	float	bool
float	gt	float	bool
float	ge	float	bool
float	add	float	float
float	sub	float	float
float	mul	float	float
float	div	float	float
i32	to_str		str
i32	neg		i32
i32	eq	i32	bool
i32	ne	i32	bool
i32	lt	i32	bool
i32	le	i32	bool
i32	gt	i32	bool
i32	ge	i32	bool
i32	add	i32	i32
i32	sub	i32	i32
i32	mul	i32	i32
i32	div	i32	i32
u32	to_str		str
u32	neg		u32
u32	eq	u32	bool
u32	ne	u32	bool
u32	lt	u32	bool
u32	le	u32	bool
u32	gt	u32	bool
u32	ge	u32	bool
u32	add	u32	u32
u32	sub	u32	u32
u32	mul	u32	u32
u32	div	u32	u32
f32	to_str		str
f32	neg		f32
f32	eq	f32	bool
f32	ne	f32	bool
f32	lt	f32	bool
f32	le	f32	bool
f32	gt	f32	bool
f32	ge	f32	bool
f32	add	f32	f32
f32	sub	f32	f32
f32	mul	f32	f32
f32	div	f32	f32
str	to_str		str
str	eq	str	bool
str	ne	str	bool
str	lt	str	bool
str	le	str	bool
str	gt	str	bool
str	ge	str	bool
str	add	str	str
str	sub	str	str
_	to_str		str
