Instruction	Opcode
unreachable	0x00
nop	0x01
block	0x02
loop	0x03
if_then	0x04
else	0x05
end	0x0B
br	0x0C
br_if	0x0D
br_table	0x0E
return	0x0F
call	0x10
call_indirect	0x11
drop	0x1A
select	0x1B
global.get	0x24
global.set	0x23
local.get	0x20
local.set	0x21
local.tee	0x22
memory.size	0x3F 0x00
memory.grow	0x40 0x00
memory.copy	0xFC 0x0A 0x00 0x00
f32.const	0x43
f32.load	0x2A
f32.store	0x36
f32.abs	0x8B
f32.ceil	0x8D
f32.floor	0x8E
f32.nearest	0x90
f32.neg	0x8C
f32.sqrt	0x91
f32.trunc	0x8F
f32.copysign	0x98
f32.add	0x92
f32.div	0x95
f32.max	0x97
f32.min	0x96
f32.mul	0x94
f32.sub	0x93
f32.eq	0x5B
f32.ge	0x60
f32.gt	0x5E
f32.le	0x5F
f32.lt	0x5D
f32.ne	0x5C
i32.const	0x41
i32.load	0x2F
i32.store	0x36
i32.and	0x71
i32.or	0x72
i32.xor	0x73
i32.add	0x6A
i32.mul	0x6C
i32.div_s	0x6D
i32.div_u	0x6E
i32.rem_s	0x6F
i32.rem_u	0x70
i32.rotl	0x77
i32.rotr	0x78
i32.shl	0x74
i32.shr_s	0x75
i32.shr_u	0x76
i32.sub	0x6B
i32.eqz	0x45
i32.eq	0x46
i32.ge_s	0x4E
i32.ge_u	0x4F
i32.gt_s	0x4A
i32.gt_u	0x4B
i32.le_s	0x4C
i32.le_u	0x4D
i32.lt_s	0x48
i32.lt_u	0x49
i32.ne	0x47
f64.const	0x43
f64.load	0x2B
f64.store	0x39
f64.abs	0x99
f64.ceil	0x9B
f64.floor	0x9C
f64.nearest	0x9E
f64.neg	0x9A
f64.sqrt	0x9F
f64.trunc	0x9D
f64.copysign	0xA6
f64.add	0xA0
f64.div	0xA3
f64.max	0xA5
f64.min	0xA4
f64.mul	0xA2
f64.sub	0xA1
f64.eq	0x61
f64.ge	0x66
f64.gt	0x64
f64.le	0x65
f64.lt	0x63
f64.ne	0x62
i64.const	0x42
i64.load	0x29
i64.store	0x37
i64.and	0x83
i64.or	0x84
i64.xor	0x85
i64.add	0x7C
i64.div_s	0x7F
i64.div_u	0x80
i64.mul	0x7E
i64.rem_s	0x81
i64.rem_u	0x82
i64.rotl	0x89
i64.rotr	0x8A
i64.shl	0x86
i64.shr_s	0x87
i64.shr_u	0x88
i64.sub	0x7D
i64.eqz	0x50
i64.eq	0x51
i64.ge_s	0x59
i64.ge_u	0x5A
i64.gt_s	0x55
i64.gt_u	0x56
i64.le_s	0x57
i64.le_u	0x58
i64.lt_s	0x53
i64.lt_u	0x54
i64.ne	0x52
